BorrowHistoryID,BookID,MemberID,BorrowDate,ReturnDate
1,1,1,2024-01-15,2024-02-05
2,2,3,2024-02-10,2024-03-02
3,22,2,2024-01-22,2024-02-12
4,30,9,2024-03-05,2024-03-25
5,7,4,2024-02-18,2024-03-10
6,35,5,2024-03-12,2024-04-01
7,19,1,2024-02-20,2024-03-15
8,25,8,2024-03-01,2024-03-21
9,40,7,2024-01-28,2024-02-17
10,16,10,2024-02-25,2024-03-18
11,10,2,2024-03-10,2024-04-05
12,45,3,2024-01-08,2024-01-28
13,13,4,2024-03-15,NULL
14,51,6,2024-02-01,NULL
15,49,7,2024-03-20,NULL
16,54,11,2024-01-12,2024-02-02
17,84,12,2024-02-14,2024-03-06
18,88,13,2024-03-08,2024-03-28
19,30,14,2024-01-25,2024-02-15
20,95,15,2024-02-28,2024-03-20
21,100,16,2024-03-18,NULL
22,4,17,2024-01-30,2024-02-20
23,61,18,2024-03-02,2024-03-22
24,68,19,2024-02-12,2024-03-04
25,75,20,2024-03-25,NULL
26,8,21,2024-01-18,2024-02-08
27,36,22,2024-02-22,2024-03-14
28,43,23,2024-03-12,2024-04-02
29,78,24,2024-02-05,2024-02-25
30,85,25,2024-03-28,NULL
31,6,26,2024-01-22,2024-02-12
32,31,27,2024-02-18,2024-03-10
33,58,28,2024-03-15,2024-04-05
34,72,29,2024-02-08,2024-02-28
35,97,30,2024-03-22,NULL
36,12,31,2024-01-15,2024-02-05
37,38,32,2024-02-25,2024-03-17
38,65,33,2024-03-10,2024-03-30
39,81,34,2024-02-12,2024-03-04
40,92,35,2024-03-28,NULL
41,5,36,2024-01-20,2024-02-10
42,32,37,2024-02-28,2024-03-20
43,59,38,2024-03-12,2024-04-02
44,76,39,2024-02-15,2024-03-07
45,98,40,2024-03-25,NULL
46,15,41,2024-01-25,2024-02-15
47,41,42,2024-02-20,2024-03-12
48,67,43,2024-03-08,2024-03-28
49,83,44,2024-02-22,2024-03-14
50,99,45,2024-03-30,NULL
51,20,46,2024-01-28,2024-02-18
52,46,47,2024-02-15,2024-03-07
53,73,48,2024-03-18,2024-04-08
54,86,49,2024-02-25,2024-03-17
55,1,50,2024-03-22,NULL
56,26,51,2024-01-30,2024-02-20
57,52,52,2024-02-12,2024-03-04
58,79,53,2024-03-25,2024-04-15
59,93,54,2024-02-18,2024-03-10
60,2,55,2024-03-28,NULL
61,27,56,2024-01-22,2024-02-12
62,53,57,2024-02-28,2024-03-20
63,80,58,2024-03-15,2024-04-05
64,94,59,2024-02-20,2024-03-12
65,3,60,2024-03-30,NULL
66,28,61,2024-01-25,2024-02-15
67,55,62,2024-02-22,2024-03-14
68,82,63,2024-03-12,2024-04-02
69,96,64,2024-02-28,2024-03-20
70,9,65,2024-03-25,NULL
71,33,66,2024-01-18,2024-02-08
72,60,67,2024-02-25,2024-03-17
73,87,68,2024-03-18,2024-04-08
74,11,69,2024-02-12,2024-03-04
75,34,70,2024-03-28,NULL
76,21,71,2024-01-30,2024-02-20
77,47,72,2024-02-15,2024-03-07
78,74,73,2024-03-22,2024-04-12
79,89,74,2024-02-28,2024-03-20
80,14,75,2024-03-30,NULL
81,37,1,2024-02-05,2024-02-25
82,63,2,2024-03-15,2024-04-05
83,90,3,2024-02-20,2024-03-12
84,17,4,2024-03-28,NULL
85,42,5,2024-01-25,2024-02-15
86,69,6,2024-02-22,2024-03-14
87,91,7,2024-03-18,2024-04-08
88,18,8,2024-02-12,2024-03-04
89,44,9,2024-03-25,NULL
90,71,10,2024-01-30,2024-02-20
91,23,11,2024-02-28,2024-03-20
92,48,12,2024-03-15,2024-04-05
93,77,13,2024-02-18,2024-03-10
94,24,14,2024-03-30,NULL
95,50,15,2024-01-22,2024-02-12
96,29,16,2024-02-25,2024-03-17
97,56,17,2024-03-12,2024-04-02
98,64,18,2024-02-20,2024-03-12
99,70,19,2024-03-28,NULL
100,39,20,2024-01-28,2024-02-18
101,57,21,2024-02-15,2024-03-07
102,66,22,2024-03-22,2024-04-12
103,22,23,2024-02-25,2024-03-17
104,88,24,2024-03-30,NULL
105,7,25,2024-01-20,2024-02-10
106,35,26,2024-02-28,2024-03-20
107,62,27,2024-03-15,2024-04-05
108,95,28,2024-02-22,2024-03-14
109,4,29,2024-03-28,NULL
110,30,30,2024-01-25,2024-02-15
111,100,31,2024-02-18,2024-03-10
112,16,32,2024-03-25,2024-04-15
113,84,33,2024-02-12,2024-03-04
114,61,34,2024-03-30,NULL
115,45,35,2024-01-28,2024-02-18
116,78,36,2024-02-25,2024-03-17
117,85,37,2024-03-18,2024-04-08
118,54,38,2024-02-15,2024-03-07
119,75,39,2024-03-28,NULL
120,8,40,2024-01-22,2024-02-12
121,68,41,2024-02-28,2024-03-20
122,92,42,2024-03-15,2024-04-05
123,6,43,2024-02-20,2024-03-12
124,97,44,2024-03-30,NULL
125,31,45,2024-01-30,2024-02-20
126,72,46,2024-02-22,2024-03-14
127,5,47,2024-03-25,2024-04-15
128,98,48,2024-02-18,2024-03-10
129,32,49,2024-03-28,NULL
130,76,50,2024-01-25,2024-02-15
131,12,51,2024-02-25,2024-03-17
132,59,52,2024-03-18,2024-04-08
133,81,53,2024-02-12,2024-03-04
134,99,54,2024-03-30,NULL
135,38,55,2024-01-28,2024-02-18
136,65,56,2024-02-20,2024-03-12
137,15,57,2024-03-22,2024-04-12
138,83,58,2024-02-28,2024-03-20
139,41,59,2024-03-30,NULL
140,67,60,2024-01-22,2024-02-12
141,20,61,2024-02-15,2024-03-07
142,86,62,2024-03-25,2024-04-15
143,46,63,2024-02-25,2024-03-17
144,1,64,2024-03-28,NULL
145,73,65,2024-01-30,2024-02-20
146,26,66,2024-02-18,2024-03-10
147,93,67,2024-03-18,2024-04-08
148,52,68,2024-02-22,2024-03-14
149,2,69,2024-03-30,NULL
150,79,70,2024-01-25,2024-02-15